Name,Make,Model,State,Last Annual Mileage
Jennifer Clark,Volvo,142E,MA,13374
Jennifer Clark,Maserati,Bora,MA,19293
Nicholas Mcfarland,Volvo,142E,CT,11775
Nicholas Mcfarland,Ferrari,Dino,CT,11692
Luke Benjamin,Ford,Pantera,NJ,8028
Danielle Dalton,Merc,450SL,CT,18573
Timothy Sanchez,Ferrari,Dino,NY,18849
Andrew Flores,AMC,Javelin,PA,17197
Patrick Brown,Ferrari,Dino,PA,9417
Dustin Patel,Fiat,X1-9,NY,14962
Larry Evans,Dodge,Challenger,MA,15293
Kimberly Hernandez,Pontiac,Firebird,VT,11910
Kimberly Hernandez,Merc,450SE,VT,16848
Kimberly Hernandez,Volvo,142E,VT,13759
Jeffrey Floyd,Lincoln,Continental,NJ,11045
Jessica Swanson,Mazda,RX4b,PA,19643
Brent Dunn,AMC,Javelin,MA,19493
Jessica Torres,Duster,360,PA,13622
Lindsey James,Hornet,Sportabout,NY,17289
Lindsey James,Hornet,Sportabout,NY,10798
Sylvia Lindsey,Chrysler,Imperial,NY,15112
Brandi Walker,Pontiac,Firebird,NY,16711
Jason Reeves,Dodge,Challenger,MA,12072
Jonathan Obrien,Duster,360,RI,18112
James Meyer,Ford,Pantera,NH,8552
Summer Miller,Chrysler,Imperial,CT,17117
Daniel Hess,AMC,Javelin,NY,11771
Lisa Phillips,Merc,280,MA,11698
Zachary Flowers,Ford,Pantera,PA,13665
Jessica Duncan,Dodge,Challenger,NJ,14024
Carol Zhang,Mazda,RX4,ME,19732
Derrick Young,Ford,Pantera,MA,19283
Leslie Anderson,Porsche,914-2,NY,11016
Leslie Anderson,Ford,Pantera,NY,12718
John Miller,Maserati,Bora,NH,13701
Christy James,Toyota,Corolla,MA,17004
Tracy Barnes,Chrysler,Imperial,NY,18373
Nicole Perez,Fiat,X1-9,RI,13320
Grace Dennis,Chrysler,Imperial,VT,17677
Tina Reed,Camaro,Z28,NY,15190
Edwin Green,AMC,Javelin,VT,13086
Nicole Jones,Merc,280C,NH,17615
Nicole Jones,Ferrari,Dino,NH,10154
Michelle Crawford,Lotus,Europa,ME,14286
Michelle Crawford,Merc,280,ME,16823
Dawn Ward,Pontiac,Firebird,NY,19494
Justin Brown,Chrysler,Imperial,NY,18143
James Campbell,Ferrari,Dino,PA,12782
Tammy Washington,Chrysler,Imperial,CT,11331
Gabriela Wang,Merc,280C,RI,18077
Gabriela Wang,Mazda,RX4,RI,9662
Gabriela Wang,Ferrari,Dino,RI,16238
Nicole Nichols,Fiat,X1-9,NY,16911
David Rodgers,Honda,Civic,NY,14984
Rodney King,Toyota,Corolla,NH,10652
Scott Jones,Ford,Pantera,MA,15167
Rickey Dickerson,Mazda,RX4,NY,11806
Marissa Anthony,Fiat,X1-9,NY,19222
Marissa Anthony,Datsun,710,NY,14259
Jesse Brown,Mazda,RX4,NY,17033
Dwayne Jackson,Volvo,142E,ME,15656
Dwayne Jackson,Lincoln,Continental,ME,18994
Laura Marshall,Merc,450SL,NY,13605
Laura Marshall,Hornet,4,NY,16816
Laura Marshall,Lincoln,Continental,NY,13870
Elizabeth Butler,Ferrari,Dino,ME,12497
Jennifer Norris,Mazda,RX4,MA,12411
Karen Mccormick,Camaro,Z28,CT,12121
Leah Wilson,Maserati,Bora,MA,11429
Austin Smith,Toyota,Corolla,NY,9306
Alice Warren,Volvo,142E,ME,11217
Tina Taylor,Honda,Civic,NJ,8209
